# Template extendido con power-law (f_lambda = A * (lam/lam0)^(-alpha) + C)
# A = 8.034762e-15, alpha = 1.683010, C = 6.020234e-15, lam0 = 7183.2 Angstrom
# columns: lambda_Angstrom, f_lambda

1377.370000,1.220020e-13
1377.930000,1.222510e-13
1378.500000,1.224690e-13
1379.060000,1.225230e-13
1379.630000,1.226930e-13
1380.190000,1.228550e-13
1380.760000,1.230010e-13
1381.320000,1.231710e-13
1381.890000,1.236170e-13
1382.450000,1.240860e-13
1383.020000,1.246790e-13
1383.580000,1.252890e-13
1384.150000,1.261600e-13
1384.710000,1.270600e-13
1385.280000,1.278850e-13
1385.840000,1.285530e-13
1386.410000,1.292040e-13
1386.970000,1.295890e-13
1387.540000,1.301610e-13
1388.100000,1.309910e-13
1388.670000,1.321000e-13
1389.230000,1.333200e-13
1389.800000,1.347500e-13
1390.360000,1.360840e-13
1390.930000,1.373980e-13
1391.490000,1.384340e-13
1392.060000,1.390770e-13
1392.620000,1.395320e-13
1393.190000,1.398570e-13
1393.750000,1.401530e-13
1394.320000,1.405080e-13
1394.880000,1.409950e-13
1395.450000,1.412570e-13
1396.010000,1.415740e-13
1396.580000,1.417720e-13
1397.140000,1.419090e-13
1397.710000,1.419060e-13
1398.270000,1.419510e-13
1398.840000,1.420530e-13
1399.400000,1.423260e-13
